Year,Units,Zeitreihe,Darstellung,Value
2020,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,2.48
2021,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,3.373
2022,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,
2010,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,
2011,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,98.632
2012,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,99.299
2013,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,99.777
2014,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,100.091
2015,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,100.0
2016,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,99.84
2017,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,99.685
2018,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,99.601
2019,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,99.764
2020,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,100.046
2021,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,100.363
2022,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,
2010,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,
2011,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,
2012,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,0.647
2013,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,0.614
2014,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,0.619
2015,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,0.482
2016,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,0.455
2017,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,0.464
2018,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,0.469
2019,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,0.464
2020,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,0.475
2021,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,0.452
2022,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,
2010,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,
2011,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,
2012,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,-0.03
2013,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,0.131
2014,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,0.303
2015,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,0.57
2016,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,0.615
2017,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,0.621
2018,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,0.556
2019,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,0.3
2020,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,0.191
2021,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,0.134
2022,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,0.401
