Year,Bildungsstand,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2025,Sekundarstufe I (ISCED-Stufe 2),Weiblich,p,,,92.6
2010,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,93.3
2011,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,92.2
2012,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,92.5
2013,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,93.0
2014,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,93.4
2015,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,92.9
2016,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,91.9
2017,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,92.1
2018,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,92.1
2019,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,92.1
2020,Sekundarstufe I (ISCED-Stufe 2),Männlich,|,,,91.6
2021,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,90.9
2022,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,89.9
2023,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,89.3
2024,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,88.3
2025,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,89.2
2010,Sekundarstufe II (ISCED-Stufe 3),,,,,77.2
2011,Sekundarstufe II (ISCED-Stufe 3),,,,,77.4
2012,Sekundarstufe II (ISCED-Stufe 3),,,,,76.7
2013,Sekundarstufe II (ISCED-Stufe 3),,,,,78.4
2014,Sekundarstufe II (ISCED-Stufe 3),,,,,78.9
2015,Sekundarstufe II (ISCED-Stufe 3),,,,,79.0
2016,Sekundarstufe II (ISCED-Stufe 3),,,,,79.1
2017,Sekundarstufe II (ISCED-Stufe 3),,,,,79.7
2018,Sekundarstufe II (ISCED-Stufe 3),,,,,79.2
2019,Sekundarstufe II (ISCED-Stufe 3),,,,,79.5
2020,Sekundarstufe II (ISCED-Stufe 3),,|,,,80.6
2021,Sekundarstufe II (ISCED-Stufe 3),,,,,77.7
2022,Sekundarstufe II (ISCED-Stufe 3),,,,,77.3
2023,Sekundarstufe II (ISCED-Stufe 3),,,,,76.5
2024,Sekundarstufe II (ISCED-Stufe 3),,,,,76.2
2025,Sekundarstufe II (ISCED-Stufe 3),,p,,,78.4
2010,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,79.1
2011,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,79.2
2012,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,78.7
2013,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,79.9
2014,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,80.2
2015,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,80.7
2016,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,80.6
2017,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,81.5
2018,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,81.7
2019,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,82.1
2020,Sekundarstufe II (ISCED-Stufe 3),Weiblich,|,,,84.3
2021,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,81.1
2022,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,80.5
2023,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,80.1
2024,Sekundarstufe II (ISCED-Stufe 3),Weiblich,,,,79.9
2025,Sekundarstufe II (ISCED-Stufe 3),Weiblich,p,,,81.3
2010,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,75.3
2011,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,75.7
2012,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,74.9
2013,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,77.0
2014,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,77.6
2015,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,77.4
2016,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,77.8
2017,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,78.1
2018,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,76.9
2019,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,77.2
2020,Sekundarstufe II (ISCED-Stufe 3),Männlich,|,,,77.2
2021,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,74.5
2022,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,74.3
2023,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,73.1
2024,Sekundarstufe II (ISCED-Stufe 3),Männlich,,,,72.7
2025,Sekundarstufe II (ISCED-Stufe 3),Männlich,p,,,75.7
