Year,timeseries,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,persons living in households with very low work intensity,male,,,,9.9
2024,persons living in households with very low work intensity,male,,,,9.8
2010,severely materially and socially deprived persons,,.,,,
2011,severely materially and socially deprived persons,,.,,,
2012,severely materially and socially deprived persons,,.,,,
2013,severely materially and socially deprived persons,,.,,,
2014,severely materially and socially deprived persons,,.,,,
2015,severely materially and socially deprived persons,,,,,5.7
2016,severely materially and socially deprived persons,,,,,4.7
2017,severely materially and socially deprived persons,,,,,3.7
2018,severely materially and socially deprived persons,,,,,3.4
2019,severely materially and socially deprived persons,,,,,3.0
2020,severely materially and socially deprived persons,,|,,,4.4
2021,severely materially and socially deprived persons,,,,,4.3
2022,severely materially and socially deprived persons,,,,,6.2
2023,severely materially and socially deprived persons,,,,,6.9
2024,severely materially and socially deprived persons,,,,,6.2
2010,severely materially and socially deprived persons,female,.,,,
2011,severely materially and socially deprived persons,female,.,,,
2012,severely materially and socially deprived persons,female,.,,,
2013,severely materially and socially deprived persons,female,.,,,
2014,severely materially and socially deprived persons,female,.,,,
2015,severely materially and socially deprived persons,female,,,,6.3
2016,severely materially and socially deprived persons,female,,,,5.1
2017,severely materially and socially deprived persons,female,,,,4.0
2018,severely materially and socially deprived persons,female,,,,3.6
2019,severely materially and socially deprived persons,female,,,,3.3
2020,severely materially and socially deprived persons,female,|,,,4.4
2021,severely materially and socially deprived persons,female,,,,4.3
2022,severely materially and socially deprived persons,female,,,,6.1
2023,severely materially and socially deprived persons,female,,,,6.8
2024,severely materially and socially deprived persons,female,,,,6.1
2010,severely materially and socially deprived persons,male,.,,,
2011,severely materially and socially deprived persons,male,.,,,
2012,severely materially and socially deprived persons,male,.,,,
2013,severely materially and socially deprived persons,male,.,,,
2014,severely materially and socially deprived persons,male,.,,,
2015,severely materially and socially deprived persons,male,,,,5.0
2016,severely materially and socially deprived persons,male,,,,4.3
2017,severely materially and socially deprived persons,male,,,,3.5
2018,severely materially and socially deprived persons,male,,,,3.2
2019,severely materially and socially deprived persons,male,,,,2.6
2020,severely materially and socially deprived persons,male,|,,,4.3
2021,severely materially and socially deprived persons,male,,,,4.4
2022,severely materially and socially deprived persons,male,,,,6.3
2023,severely materially and socially deprived persons,male,,,,7.0
2024,severely materially and socially deprived persons,male,,,,6.1
