Year,Units,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,billion eur,government fiscal balance,,,,21.8
2015,billion eur,government fiscal balance,,,,28.2
2016,billion eur,government fiscal balance,,,,36.2
2017,billion eur,government fiscal balance,,,,44.6
2018,billion eur,government fiscal balance,,,,64.7
2019,billion eur,government fiscal balance,,,,46.9
2020,billion eur,government fiscal balance,,,,-151.1
2021,billion eur,government fiscal balance,r,,,-117.6
2022,billion eur,government fiscal balance,,,,74.3
2023,billion eur,government fiscal balance,p,,,-95.0
2024,billion eur,government fiscal balance,p,,,-121.1
2025,billion eur,government fiscal balance,p,,,-136.5
2010,billion eur,gross fixed capital formation,,,,501.8
2011,billion eur,gross fixed capital formation,,,,549.6
2012,billion eur,gross fixed capital formation,,,,558.9
2013,billion eur,gross fixed capital formation,,,,561.2
2014,billion eur,gross fixed capital formation,,,,590.4
2015,billion eur,gross fixed capital formation,,,,609.6
2016,billion eur,gross fixed capital formation,,,,640.4
2017,billion eur,gross fixed capital formation,,,,671.1
2018,billion eur,gross fixed capital formation,,,,714.9
2019,billion eur,gross fixed capital formation,,,,748.2
2020,billion eur,gross fixed capital formation,,,,736.5
2021,billion eur,gross fixed capital formation,,,,780.0
2022,billion eur,gross fixed capital formation,,,,865.4
2023,billion eur,gross fixed capital formation,p,,,898.0
2024,billion eur,gross fixed capital formation,p,,,898.3
2025,billion eur,gross fixed capital formation,p,,,915.1
2010,million hours,hours worked by employees,,,,49385.0
2011,million hours,hours worked by employees,,,,50163.0
2012,million hours,hours worked by employees,,,,50098.0
2013,million hours,hours worked by employees,,,,50243.0
2014,million hours,hours worked by employees,,,,51075.0
2015,million hours,hours worked by employees,,,,51811.0
2016,million hours,hours worked by employees,,,,52493.0
2017,million hours,hours worked by employees,,,,53225.0
2018,million hours,hours worked by employees,,,,53913.0
2019,million hours,hours worked by employees,,,,54333.0
2020,million hours,hours worked by employees,,,,52028.0
2021,million hours,hours worked by employees,,,,53379.0
2022,million hours,hours worked by employees,,,,54505.0
2023,million hours,hours worked by employees,p,,,54831.0
2024,million hours,hours worked by employees,p,,,55237.0
2025,million hours,hours worked by employees,p,,,54949.0
2010,million hours,hours worked by persons employed,,,,58581.0
2011,million hours,hours worked by persons employed,,,,59328.0
2012,million hours,hours worked by persons employed,,,,59143.0
2013,million hours,hours worked by persons employed,,,,59148.0
2014,million hours,hours worked by persons employed,,,,59859.0
2015,million hours,hours worked by persons employed,,,,60460.0
2016,million hours,hours worked by persons employed,,,,60978.0
2017,million hours,hours worked by persons employed,,,,61484.0
2018,million hours,hours worked by persons employed,,,,61964.0
2019,million hours,hours worked by persons employed,,,,62141.0
2020,million hours,hours worked by persons employed,,,,59066.0
2021,million hours,hours worked by persons employed,,,,60410.0
2022,million hours,hours worked by persons employed,,,,61501.0
2023,million hours,hours worked by persons employed,p,,,61603.0
2024,million hours,hours worked by persons employed,p,,,61817.0
2025,million hours,hours worked by persons employed,p,,,61309.0
2010,2020 = 100,labour productivity per hour worked by employee,r,,,93.5
2011,2020 = 100,labour productivity per hour worked by employee,r,,,95.5
2012,2020 = 100,labour productivity per hour worked by employee,r,,,96.1
2013,2020 = 100,labour productivity per hour worked by employee,r,,,96.3
2014,2020 = 100,labour productivity per hour worked by employee,r,,,96.8
2015,2020 = 100,labour productivity per hour worked by employee,r,,,97.1
2016,2020 = 100,labour productivity per hour worked by employee,r,,,97.7
2017,2020 = 100,labour productivity per hour worked by employee,r,,,99.5
2018,2020 = 100,labour productivity per hour worked by employee,r,,,99.1
2019,2020 = 100,labour productivity per hour worked by employee,r,,,99.8
2020,2020 = 100,labour productivity per hour worked by employee,,,,100.0
2021,2020 = 100,labour productivity per hour worked by employee,,,,101.3
2022,2020 = 100,labour productivity per hour worked by employee,,,,103.7
2023,2020 = 100,labour productivity per hour worked by employee,p,,,99.5
2024,2020 = 100,labour productivity per hour worked by employee,p,,,98.7
2025,2020 = 100,labour productivity per hour worked by employee,p,,,99.5
2010,2020 = 100,labour productivity per hour worked by persons employed,r,,,89.5
2011,2020 = 100,labour productivity per hour worked by persons employed,r,,,91.7
2012,2020 = 100,labour productivity per hour worked by persons employed,r,,,92.4
2013,2020 = 100,labour productivity per hour worked by persons employed,r,,,92.8
2014,2020 = 100,labour productivity per hour worked by persons employed,r,,,93.8
2015,2020 = 100,labour productivity per hour worked by persons employed,r,,,94.5
2016,2020 = 100,labour productivity per hour worked by persons employed,r,,,95.8
2017,2020 = 100,labour productivity per hour worked by persons employed,r,,,97.8
2018,2020 = 100,labour productivity per hour worked by persons employed,r,,,98.3
2019,2020 = 100,labour productivity per hour worked by persons employed,r,,,99.0
2020,2020 = 100,labour productivity per hour worked by persons employed,,,,100.0
2021,2020 = 100,labour productivity per hour worked by persons employed,,,,101.6
2022,2020 = 100,labour productivity per hour worked by persons employed,,,,101.7
2023,2020 = 100,labour productivity per hour worked by persons employed,p,,,100.5
2024,2020 = 100,labour productivity per hour worked by persons employed,p,,,100.2
2025,2020 = 100,labour productivity per hour worked by persons employed,p,,,101.2
2010,"number in 1,000",persons employed,,,,41099.0
2011,"number in 1,000",persons employed,,,,41570.0
2012,"number in 1,000",persons employed,,,,42065.0
2013,"number in 1,000",persons employed,,,,42378.0
2014,"number in 1,000",persons employed,,,,42756.0
2015,"number in 1,000",persons employed,,,,43137.0
2016,"number in 1,000",persons employed,,,,43686.0
2017,"number in 1,000",persons employed,,,,44290.0
2018,"number in 1,000",persons employed,,,,44878.0
2019,"number in 1,000",persons employed,,,,45291.0
2020,"number in 1,000",persons employed,,,,44966.0
2021,"number in 1,000",persons employed,,,,45041.0
2022,"number in 1,000",persons employed,,,,45622.0
2023,"number in 1,000",persons employed,p,,,45909.0
2024,"number in 1,000",persons employed,p,,,45960.0
2025,"number in 1,000",persons employed,p,,,45878.0
2010,2020 = 100,real gdp per capita,r,,,90.8
2011,2020 = 100,real gdp per capita,r,,,94.2
2012,2020 = 100,real gdp per capita,r,,,94.5
2013,2020 = 100,real gdp per capita,r,,,94.8
2014,2020 = 100,real gdp per capita,r,,,96.7
2015,2020 = 100,real gdp per capita,r,,,97.7
2016,2020 = 100,real gdp per capita,r,,,99.3
2017,2020 = 100,real gdp per capita,r,,,101.9
2018,2020 = 100,real gdp per capita,r,,,103.0
2019,2020 = 100,real gdp per capita,r,,,104.1
2020,2020 = 100,real gdp per capita,,,,100.0
2021,2020 = 100,real gdp per capita,,,,104.1
2022,2020 = 100,real gdp per capita,,,,105.4
2023,2020 = 100,real gdp per capita,p,,,103.4
2024,2020 = 100,real gdp per capita,p,,,103.1
2025,2020 = 100,real gdp per capita,p,,,103.1
2010,billion eur,trade balance,,,,133.5
2011,billion eur,trade balance,,,,133.3
2012,billion eur,trade balance,r,,,169.0
2013,billion eur,trade balance,r,,,1653.0
2014,billion eur,trade balance,r,,,194.6
2015,billion eur,trade balance,r,,,228.1
2016,billion eur,trade balance,r,,,230.2
2017,billion eur,trade balance,r,,,227.8
2018,billion eur,trade balance,r,,,195.8
2019,billion eur,trade balance,r,,,191.4
2020,billion eur,trade balance,r,,,174.2
2021,billion eur,trade balance,r,,,178.4
2022,billion eur,trade balance,,,,82.3
2023,billion eur,trade balance,p,,,155.3
2024,billion eur,trade balance,p,,,156.7
2025,billion eur,trade balance,p,,,100.3
