Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1114193.078
2016,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1115404.3
2017,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1115404.3
2018,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1115419.061
2019,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1127920.476
2020,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1151164.599
2021,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1151164.599
2022,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1151164.599
2023,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1151164.599
2024,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1212147.6
2010,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,49.03
2011,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,49.32
2012,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,49.51
2013,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,49.94
2014,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,50.13
2015,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,50.34
2016,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,51.13
2017,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,51.14
2018,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,51.74
2019,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,52.48
2020,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,53.5
2021,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,53.5
2022,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,53.5
2023,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,53.5
2024,Prozent,"Flächen in Gebirgen, die unter Schutz stehen",,,,56.4
2010,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3322888.877
2011,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3342450.778
2012,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3355067.625
2013,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3384336.696
2014,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3397202.327
2015,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3411552.304
2016,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3465268.332
2017,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3465463.362
2018,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3506452.003
2019,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3556706.333
2020,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3625393.782
2021,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3625393.782
2022,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3625393.782
2023,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3625393.782
2024,Hektar,"Flächen in Gebirgen, die unter Schutz stehen",,,,3819684.195
2010,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.149
2011,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.158
2012,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.164
2013,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.188
2014,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.25
2015,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.354
2016,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.358
2017,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.36
2018,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.365
2019,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.371
2020,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.438
2021,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.438
2022,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.438
2023,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.464
2024,Prozent,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,19.486
2010,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1297687.97
2011,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1298278.703
2012,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1298720.641
2013,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1300335.815
2014,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1304500.284
2015,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1311550.677
2016,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1311857.4
2017,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1311946.268
2018,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1312285.598
2019,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1312732.718
2020,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1317288.48
2021,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1317288.48
2022,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1317288.48
2023,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1319050.64
2024,Hektar,"Flächen in Gebirgen, die unter effektivem Schutz stehen",,,,1320533.18
