Year,Units,Zeitreihe,Geschlecht,Region,GeoCode,Value
2012,Prozent,Verdienstabstand,,Baden-Württemberg,code08,27.0
2013,Prozent,Verdienstabstand,,Baden-Württemberg,code08,27.0
2014,Prozent,Verdienstabstand,,Baden-Württemberg,code08,27.0
2015,Prozent,Verdienstabstand,,Baden-Württemberg,code08,27.0
2016,Prozent,Verdienstabstand,,Baden-Württemberg,code08,27.0
2017,Prozent,Verdienstabstand,,Baden-Württemberg,code08,27.0
2010,Prozent,Verdienstabstand,,Bayern,code09,26.0
2011,Prozent,Verdienstabstand,,Bayern,code09,25.0
2012,Prozent,Verdienstabstand,,Bayern,code09,25.0
2013,Prozent,Verdienstabstand,,Bayern,code09,25.0
2014,Prozent,Verdienstabstand,,Bayern,code09,25.0
2015,Prozent,Verdienstabstand,,Bayern,code09,24.0
2016,Prozent,Verdienstabstand,,Bayern,code09,24.0
2017,Prozent,Verdienstabstand,,Bayern,code09,24.0
2010,Prozent,Verdienstabstand,,Berlin,code11,14.0
2011,Prozent,Verdienstabstand,,Berlin,code11,15.0
2012,Prozent,Verdienstabstand,,Berlin,code11,15.0
2013,Prozent,Verdienstabstand,,Berlin,code11,14.0
2014,Prozent,Verdienstabstand,,Berlin,code11,14.0
2015,Prozent,Verdienstabstand,,Berlin,code11,15.0
2016,Prozent,Verdienstabstand,,Berlin,code11,14.0
2017,Prozent,Verdienstabstand,,Berlin,code11,13.0
2010,Prozent,Verdienstabstand,,Brandenburg,code12,7.0
2011,Prozent,Verdienstabstand,,Brandenburg,code12,6.0
2012,Prozent,Verdienstabstand,,Brandenburg,code12,7.0
2013,Prozent,Verdienstabstand,,Brandenburg,code12,5.0
2014,Prozent,Verdienstabstand,,Brandenburg,code12,7.0
2015,Prozent,Verdienstabstand,,Brandenburg,code12,4.0
2016,Prozent,Verdienstabstand,,Brandenburg,code12,4.0
2017,Prozent,Verdienstabstand,,Brandenburg,code12,3.0
2010,Prozent,Verdienstabstand,,Bremen,code04,24.0
2011,Prozent,Verdienstabstand,,Bremen,code04,24.0
2012,Prozent,Verdienstabstand,,Bremen,code04,27.0
2013,Prozent,Verdienstabstand,,Bremen,code04,25.0
2014,Prozent,Verdienstabstand,,Bremen,code04,25.0
2015,Prozent,Verdienstabstand,,Bremen,code04,24.0
2016,Prozent,Verdienstabstand,,Bremen,code04,23.0
2017,Prozent,Verdienstabstand,,Bremen,code04,23.0
2010,Prozent,Verdienstabstand,,Hamburg,code02,23.0
2011,Prozent,Verdienstabstand,,Hamburg,code02,22.0
2012,Prozent,Verdienstabstand,,Hamburg,code02,24.0
2013,Prozent,Verdienstabstand,,Hamburg,code02,23.0
2014,Prozent,Verdienstabstand,,Hamburg,code02,22.0
2015,Prozent,Verdienstabstand,,Hamburg,code02,21.0
2016,Prozent,Verdienstabstand,,Hamburg,code02,20.0
2017,Prozent,Verdienstabstand,,Hamburg,code02,20.0
2010,Prozent,Verdienstabstand,,Hessen,code06,25.0
2011,Prozent,Verdienstabstand,,Hessen,code06,25.0
2012,Prozent,Verdienstabstand,,Hessen,code06,24.0
2013,Prozent,Verdienstabstand,,Hessen,code06,23.0
2014,Prozent,Verdienstabstand,,Hessen,code06,24.0
2015,Prozent,Verdienstabstand,,Hessen,code06,25.0
2016,Prozent,Verdienstabstand,,Hessen,code06,23.0
2017,Prozent,Verdienstabstand,,Hessen,code06,24.0
2010,Prozent,Verdienstabstand,,Mecklenburg-Vorpommern,code13,4.0
2011,Prozent,Verdienstabstand,,Mecklenburg-Vorpommern,code13,6.0
2012,Prozent,Verdienstabstand,,Mecklenburg-Vorpommern,code13,7.0
2013,Prozent,Verdienstabstand,,Mecklenburg-Vorpommern,code13,6.0
2014,Prozent,Verdienstabstand,,Mecklenburg-Vorpommern,code13,8.0
2015,Prozent,Verdienstabstand,,Mecklenburg-Vorpommern,code13,7.0
2016,Prozent,Verdienstabstand,,Mecklenburg-Vorpommern,code13,6.0
2017,Prozent,Verdienstabstand,,Mecklenburg-Vorpommern,code13,5.0
2010,Prozent,Verdienstabstand,,Niedersachsen,code03,22.0
2011,Prozent,Verdienstabstand,,Niedersachsen,code03,22.0
2012,Prozent,Verdienstabstand,,Niedersachsen,code03,21.0
2013,Prozent,Verdienstabstand,,Niedersachsen,code03,20.0
2014,Prozent,Verdienstabstand,,Niedersachsen,code03,22.0
2015,Prozent,Verdienstabstand,,Niedersachsen,code03,21.0
2016,Prozent,Verdienstabstand,,Niedersachsen,code03,20.0
2017,Prozent,Verdienstabstand,,Niedersachsen,code03,20.0
2010,Prozent,Verdienstabstand,,Nordrhein-Westfalen,code05,23.0
2011,Prozent,Verdienstabstand,,Nordrhein-Westfalen,code05,23.0
2012,Prozent,Verdienstabstand,,Nordrhein-Westfalen,code05,24.0
2013,Prozent,Verdienstabstand,,Nordrhein-Westfalen,code05,23.0
2014,Prozent,Verdienstabstand,,Nordrhein-Westfalen,code05,23.0
2015,Prozent,Verdienstabstand,,Nordrhein-Westfalen,code05,23.0
2016,Prozent,Verdienstabstand,,Nordrhein-Westfalen,code05,22.0
2017,Prozent,Verdienstabstand,,Nordrhein-Westfalen,code05,22.0
2010,Prozent,Verdienstabstand,,Rheinland-Pfalz,code07,22.0
2011,Prozent,Verdienstabstand,,Rheinland-Pfalz,code07,22.0
2012,Prozent,Verdienstabstand,,Rheinland-Pfalz,code07,22.0
2013,Prozent,Verdienstabstand,,Rheinland-Pfalz,code07,22.0
2014,Prozent,Verdienstabstand,,Rheinland-Pfalz,code07,21.0
2015,Prozent,Verdienstabstand,,Rheinland-Pfalz,code07,21.0
2016,Prozent,Verdienstabstand,,Rheinland-Pfalz,code07,20.0
2017,Prozent,Verdienstabstand,,Rheinland-Pfalz,code07,20.0
2010,Prozent,Verdienstabstand,,Saarland,code10,25.0
2011,Prozent,Verdienstabstand,,Saarland,code10,25.0
2012,Prozent,Verdienstabstand,,Saarland,code10,25.0
2013,Prozent,Verdienstabstand,,Saarland,code10,24.0
2014,Prozent,Verdienstabstand,,Saarland,code10,23.0
2015,Prozent,Verdienstabstand,,Saarland,code10,24.0
2016,Prozent,Verdienstabstand,,Saarland,code10,24.0
2017,Prozent,Verdienstabstand,,Saarland,code10,23.0
2010,Prozent,Verdienstabstand,,Sachsen,code14,9.0
2011,Prozent,Verdienstabstand,,Sachsen,code14,10.0
2012,Prozent,Verdienstabstand,,Sachsen,code14,11.0
2013,Prozent,Verdienstabstand,,Sachsen,code14,11.0
2014,Prozent,Verdienstabstand,,Sachsen,code14,11.0
2015,Prozent,Verdienstabstand,,Sachsen,code14,11.0
2016,Prozent,Verdienstabstand,,Sachsen,code14,11.0
2017,Prozent,Verdienstabstand,,Sachsen,code14,11.0
2010,Prozent,Verdienstabstand,,Sachsen-Anhalt,code15,4.0
2011,Prozent,Verdienstabstand,,Sachsen-Anhalt,code15,5.0
2012,Prozent,Verdienstabstand,,Sachsen-Anhalt,code15,5.0
2013,Prozent,Verdienstabstand,,Sachsen-Anhalt,code15,4.0
2014,Prozent,Verdienstabstand,,Sachsen-Anhalt,code15,5.0
2015,Prozent,Verdienstabstand,,Sachsen-Anhalt,code15,2.0
2016,Prozent,Verdienstabstand,,Sachsen-Anhalt,code15,2.0
2017,Prozent,Verdienstabstand,,Sachsen-Anhalt,code15,2.0
2010,Prozent,Verdienstabstand,,Schleswig-Holstein,code01,18.0
2011,Prozent,Verdienstabstand,,Schleswig-Holstein,code01,17.0
2012,Prozent,Verdienstabstand,,Schleswig-Holstein,code01,18.0
2013,Prozent,Verdienstabstand,,Schleswig-Holstein,code01,18.0
2014,Prozent,Verdienstabstand,,Schleswig-Holstein,code01,17.0
2015,Prozent,Verdienstabstand,,Schleswig-Holstein,code01,17.0
2016,Prozent,Verdienstabstand,,Schleswig-Holstein,code01,17.0
2017,Prozent,Verdienstabstand,,Schleswig-Holstein,code01,15.0
2010,Prozent,Verdienstabstand,,Thüringen,code16,6.0
2011,Prozent,Verdienstabstand,,Thüringen,code16,7.0
2012,Prozent,Verdienstabstand,,Thüringen,code16,8.0
2013,Prozent,Verdienstabstand,,Thüringen,code16,9.0
2014,Prozent,Verdienstabstand,,Thüringen,code16,8.0
2015,Prozent,Verdienstabstand,,Thüringen,code16,10.0
2016,Prozent,Verdienstabstand,,Thüringen,code16,9.0
2017,Prozent,Verdienstabstand,,Thüringen,code16,8.0
