Year,Units,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,billion eur,government fiscal balance,,,,47.0
2020,billion eur,government fiscal balance,,,,-151.1
2021,billion eur,government fiscal balance,p,,,-116.4
2022,billion eur,government fiscal balance,p,,,-84.9
2023,billion eur,government fiscal balance,p,,,-107.5
2024,billion eur,government fiscal balance,p,,,-113.0
2010,billion eur,gross fixed capital formation,,,,501.8
2011,billion eur,gross fixed capital formation,,,,549.6
2012,billion eur,gross fixed capital formation,,,,558.9
2013,billion eur,gross fixed capital formation,,,,561.2
2014,billion eur,gross fixed capital formation,,,,590.4
2015,billion eur,gross fixed capital formation,,,,609.6
2016,billion eur,gross fixed capital formation,,,,640.4
2017,billion eur,gross fixed capital formation,,,,671.1
2018,billion eur,gross fixed capital formation,,,,714.9
2019,billion eur,gross fixed capital formation,,,,748.2
2020,billion eur,gross fixed capital formation,,,,736.5
2021,billion eur,gross fixed capital formation,p,,,779.2
2022,billion eur,gross fixed capital formation,p,,,858.3
2023,billion eur,gross fixed capital formation,p,,,899.9
2024,billion eur,gross fixed capital formation,p,,,897.2
2010,million hours,hours worked by employees,,,,49385.0
2011,million hours,hours worked by employees,,,,50163.0
2012,million hours,hours worked by employees,,,,50098.0
2013,million hours,hours worked by employees,,,,50243.0
2014,million hours,hours worked by employees,,,,51075.0
2015,million hours,hours worked by employees,,,,51811.0
2016,million hours,hours worked by employees,,,,52493.0
2017,million hours,hours worked by employees,,,,53225.0
2018,million hours,hours worked by employees,,,,53913.0
2019,million hours,hours worked by employees,,,,54333.0
2020,million hours,hours worked by employees,,,,52028.0
2021,million hours,hours worked by employees,p,,,53392.0
2022,million hours,hours worked by employees,p,,,54177.0
2023,million hours,hours worked by employees,p,,,54592.0
2024,million hours,hours worked by employees,p,,,54728.0
2010,million hours,hours worked by persons employed,,,,58581.0
2011,million hours,hours worked by persons employed,,,,59328.0
2012,million hours,hours worked by persons employed,,,,59143.0
2013,million hours,hours worked by persons employed,,,,59148.0
2014,million hours,hours worked by persons employed,,,,59859.0
2015,million hours,hours worked by persons employed,,,,60460.0
2016,million hours,hours worked by persons employed,,,,60978.0
2017,million hours,hours worked by persons employed,,,,61484.0
2018,million hours,hours worked by persons employed,,,,61964.0
2019,million hours,hours worked by persons employed,,,,62141.0
2020,million hours,hours worked by persons employed,,,,59066.0
2021,million hours,hours worked by persons employed,p,,,60456.0
2022,million hours,hours worked by persons employed,p,,,61211.0
2023,million hours,hours worked by persons employed,p,,,61437.0
2024,million hours,hours worked by persons employed,p,,,61370.0
2010,2020 = 100,labour productivity per hour worked by employee,,,,94.2
2011,2020 = 100,labour productivity per hour worked by employee,,,,96.2
2012,2020 = 100,labour productivity per hour worked by employee,,,,96.8
2013,2020 = 100,labour productivity per hour worked by employee,,,,96.9
2014,2020 = 100,labour productivity per hour worked by employee,,,,97.4
2015,2020 = 100,labour productivity per hour worked by employee,,,,97.6
2016,2020 = 100,labour productivity per hour worked by employee,,,,98.1
2017,2020 = 100,labour productivity per hour worked by employee,,,,99.8
2018,2020 = 100,labour productivity per hour worked by employee,,,,99.2
2019,2020 = 100,labour productivity per hour worked by employee,,,,99.8
2020,2020 = 100,labour productivity per hour worked by employee,,,,100.0
2021,2020 = 100,labour productivity per hour worked by employee,p,,,101.0
2022,2020 = 100,labour productivity per hour worked by employee,p,,,103.6
2023,2020 = 100,labour productivity per hour worked by employee,p,,,99.9
2024,2020 = 100,labour productivity per hour worked by employee,p,,,99.4
2010,2020 = 100,labour productivity per hour worked by persons employed,,,,90.2
2011,2020 = 100,labour productivity per hour worked by persons employed,,,,92.4
2012,2020 = 100,labour productivity per hour worked by persons employed,,,,93.1
2013,2020 = 100,labour productivity per hour worked by persons employed,,,,93.4
2014,2020 = 100,labour productivity per hour worked by persons employed,,,,94.3
2015,2020 = 100,labour productivity per hour worked by persons employed,,,,94.9
2016,2020 = 100,labour productivity per hour worked by persons employed,,,,96.3
2017,2020 = 100,labour productivity per hour worked by persons employed,,,,98.1
2018,2020 = 100,labour productivity per hour worked by persons employed,,,,98.4
2019,2020 = 100,labour productivity per hour worked by persons employed,,,,99.1
2020,2020 = 100,labour productivity per hour worked by persons employed,,,,100.0
2021,2020 = 100,labour productivity per hour worked by persons employed,p,,,101.3
2022,2020 = 100,labour productivity per hour worked by persons employed,p,,,101.4
2023,2020 = 100,labour productivity per hour worked by persons employed,p,,,100.8
2024,2020 = 100,labour productivity per hour worked by persons employed,p,,,100.7
2010,"number in 1,000",persons employed,,,,41099.0
2011,"number in 1,000",persons employed,,,,41570.0
2012,"number in 1,000",persons employed,,,,42065.0
2013,"number in 1,000",persons employed,,,,42378.0
2014,"number in 1,000",persons employed,,,,42756.0
2015,"number in 1,000",persons employed,,,,43137.0
2016,"number in 1,000",persons employed,,,,43686.0
2017,"number in 1,000",persons employed,,,,44290.0
2018,"number in 1,000",persons employed,,,,44878.0
2019,"number in 1,000",persons employed,,,,45291.0
2020,"number in 1,000",persons employed,,,,44966.0
2021,"number in 1,000",persons employed,p,,,45053.0
2022,"number in 1,000",persons employed,p,,,45675.0
2023,"number in 1,000",persons employed,p,,,46011.0
2024,"number in 1,000",persons employed,p,,,46083.0
2010,2020 = 100,real gdp per capita,,,,92.6
2011,2020 = 100,real gdp per capita,,,,96.1
2012,2020 = 100,real gdp per capita,,,,96.4
2013,2020 = 100,real gdp per capita,,,,96.5
2014,2020 = 100,real gdp per capita,,,,98.2
2015,2020 = 100,real gdp per capita,,,,98.9
2016,2020 = 100,real gdp per capita,,,,100.4
2017,2020 = 100,real gdp per capita,,,,102.7
2018,2020 = 100,real gdp per capita,,,,103.6
2019,2020 = 100,real gdp per capita,,,,104.4
2020,2020 = 100,real gdp per capita,,,,100.0
2021,2020 = 100,real gdp per capita,p,,,103.6
2022,2020 = 100,real gdp per capita,p,,,104.3
2023,2020 = 100,real gdp per capita,p,,,103.1
2024,2020 = 100,real gdp per capita,p,,,102.7
2010,billion eur,trade balance,,,,133.5
2011,billion eur,trade balance,,,,133.3
2012,billion eur,trade balance,,,,169.1
2013,billion eur,trade balance,,,,165.5
2014,billion eur,trade balance,,,,195.2
2015,billion eur,trade balance,,,,228.9
2016,billion eur,trade balance,,,,232.1
2017,billion eur,trade balance,,,,236.0
2018,billion eur,trade balance,,,,205.4
2019,billion eur,trade balance,,,,199.3
2020,billion eur,trade balance,,,,184.4
2021,billion eur,trade balance,p,,,189.7
2022,billion eur,trade balance,p,,,98.7
2023,billion eur,trade balance,p,,,167.7
2024,billion eur,trade balance,p,,,172.8
