Year,Umweltschutz- und/oder Ressourcenmanagementbereich,Wirtschaftszweig,Sektor,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2023,,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),9839.794
2024,,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,Bergbau und Gewinnung von Steinen und Erden (WZ-Abschnitt B),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,Bergbau und Gewinnung von Steinen und Erden (WZ-Abschnitt B),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),44.752
2024,,Bergbau und Gewinnung von Steinen und Erden (WZ-Abschnitt B),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,Verarbeitendes Gewerbe (WZ-Abschnitt C),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,Verarbeitendes Gewerbe (WZ-Abschnitt C),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),100848.109
2024,,Verarbeitendes Gewerbe (WZ-Abschnitt C),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,Energieversorgung (WZ-Abschnitt D),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,Energieversorgung (WZ-Abschnitt D),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),53506.283
2024,,Energieversorgung (WZ-Abschnitt D),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,Wasserversorgung; Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen (WZ-Abschnitt E),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,Wasserversorgung; Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen (WZ-Abschnitt E),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),78618.446
2024,,Wasserversorgung; Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen (WZ-Abschnitt E),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,Baugewerbe (WZ-Abschnitt F),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,Baugewerbe (WZ-Abschnitt F),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),14804.37
2024,,Baugewerbe (WZ-Abschnitt F),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,Information und Kommunikation (WZ-Abschnitt J),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,Information und Kommunikation (WZ-Abschnitt J),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),600.228
2024,,Information und Kommunikation (WZ-Abschnitt J),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,"Freiberufliche, wissenschaftliche und technische Dienstleistungen (WZ-Abschnitt M)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,"Freiberufliche, wissenschaftliche und technische Dienstleistungen (WZ-Abschnitt M)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),10205.845
2024,,"Freiberufliche, wissenschaftliche und technische Dienstleistungen (WZ-Abschnitt M)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,"Öffentliche Verwaltung, Verteidigung; Sozialversicherung (WZ-Abschnitt O)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,"Öffentliche Verwaltung, Verteidigung; Sozialversicherung (WZ-Abschnitt O)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),10336.34
2024,,"Öffentliche Verwaltung, Verteidigung; Sozialversicherung (WZ-Abschnitt O)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,Erziehung und Unterricht (WZ-Abschnitt P),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,Erziehung und Unterricht (WZ-Abschnitt P),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),1392.03
2024,,Erziehung und Unterricht (WZ-Abschnitt P),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,"Andere Dienstleistungen (WZ-Abschnitte G, H, I, K, L, N, Q, R, S, T und U)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,"Andere Dienstleistungen (WZ-Abschnitte G, H, I, K, L, N, Q, R, S, T und U)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),4318.738
2024,,"Andere Dienstleistungen (WZ-Abschnitte G, H, I, K, L, N, Q, R, S, T und U)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2010,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,10279.0
2011,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,11415.0
2012,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,11701.0
2013,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,11331.0
2014,,,,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,12659.0
2015,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,12117.0
2016,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,12824.0
2017,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,13263.0
2018,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,14747.0
2019,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,15577.0
2020,,,,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,15551.0
2021,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,14210.0
2022,,,,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,15376.0
2023,,,,p,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,17119.0
2010,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,2726.0
2011,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,3434.0
2012,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,3716.0
2013,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,3708.0
2014,,,Staat,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,4271.0
2015,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,4051.0
2016,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,4594.0
2017,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,4245.0
2018,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,4625.0
2019,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,4979.0
2020,,,Staat,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,5057.0
2021,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,3589.0
2022,,,Staat,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,3361.0
2023,,,Staat,p,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,3546.0
2010,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,7553.0
2011,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,7981.0
2012,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,7985.0
2013,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,7623.0
2014,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,8388.0
2015,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,8066.0
2016,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,8230.0
2017,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,9018.0
2018,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,10123.0
2019,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,10598.0
2020,,,Unternehmen,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,10495.0
2021,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,10621.0
2022,,,Unternehmen,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,12016.0
2023,,,Unternehmen,p,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,13572.0
