Year,Units,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2011,Prozent,Weiblich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2012,Prozent,Weiblich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2013,Prozent,Weiblich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2014,Prozent,Weiblich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2015,Prozent,Weiblich,,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",4.89
2016,Prozent,Weiblich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2017,Prozent,Weiblich,,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",3.75
2018,Prozent,Weiblich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2019,Prozent,Weiblich,,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",4.62
2020,Prozent,Weiblich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2021,Prozent,Weiblich,,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",3.04
2022,Prozent,Weiblich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2023,Prozent,Weiblich,,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",10.2
2010,Prozent,Männlich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2011,Prozent,Männlich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2012,Prozent,Männlich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2013,Prozent,Männlich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2014,Prozent,Männlich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2015,Prozent,Männlich,,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",4.36
2016,Prozent,Männlich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2017,Prozent,Männlich,,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",3.57
2018,Prozent,Männlich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2019,Prozent,Männlich,,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",4.56
2020,Prozent,Männlich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2021,Prozent,Männlich,,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",4.68
2022,Prozent,Männlich,.,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",
2023,Prozent,Männlich,,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",12.94
2019,Prozent,Divers,,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",28.0
2021,Prozent,Divers,,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",31.19
2023,Prozent,Divers,,,,"Bevölkerung, die den Eindruck hatte, dass Beschäftigte des öffentlichen Dienstes während ihrer Interaktionen mit öffentlichen Einrichtungen in den vergangenen zwei Jahren bestechlich waren",20.85
2010,Anzahl,,s,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,354.0
2011,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,326.0
2012,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,191.0
2013,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,237.0
2014,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,125.0
2015,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,214.0
2016,Anzahl,,.,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,
2017,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,318.0
2018,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,173.0
2019,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,334.0
2020,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,609.0
2021,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,524.0
2022,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,294.0
2023,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,442.0
2024,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,664.0
